,Den,Měsíc,Rok,Počet,Typ
0,1,8,2019,15,access
1,2,8,2019,31,access
2,3,8,2019,10,access
3,4,8,2019,24,access
4,5,8,2019,42,access
5,6,8,2019,22,access
6,7,8,2019,40,access
7,8,8,2019,19,access
8,9,8,2019,30,access
9,10,8,2019,21,access
10,11,8,2019,20,access
11,12,8,2019,52,access
12,13,8,2019,26,access
13,14,8,2019,34,access
14,15,8,2019,44,access
15,16,8,2019,41,access
16,17,8,2019,14,access
17,18,8,2019,18,access
18,19,8,2019,67,access
19,20,8,2019,42,access
20,21,8,2019,43,access
21,22,8,2019,58,access
22,23,8,2019,30,access
23,24,8,2019,24,access
24,25,8,2019,25,access
25,26,8,2019,53,access
26,27,8,2019,27,access
27,28,8,2019,17,access
28,29,8,2019,26,access
29,30,8,2019,30,access
30,31,8,2019,16,access
